country,region,year,gdp
China,Asia,1966,76854053259
Egypt,Africa,1966,5278005612
France,Europe,1966,109306730313
Germany,Europe,1966,143304275684
India,Asia,1966,45581230504
Iran,Middle East,1966,6789938672
Italy,Europe,1966,76622444787
Japan,Asia,1966,113046784179
Mexico,North America,1966,24320000000
Netherlands,Europe,1966,24741480717
Nigeria,Africa,1966,6366917453
Pakistan,Asia,1966,6561108778
Saudi Arabia,Middle East,1966,2920555557
South Africa,Africa,1966,14211394315
South Korea,Asia,1966,3957064541
Spain,Europe,1966,29559436183
Sweden,Europe,1966,27154716721
Switzerland,Europe,1966,18019402374
Thailand,Asia,1966,5279230817
Türkiye,Middle East,1966,14100000000
United Kingdom,Europe,1966,108572752102
United States,North America,1966,813032758621
Argentina,South America,1967,24256667553
Australia,Oceania,1967,30487524878
Belgium,Europe,1967,20252508995
Brazil,South America,1967,31086389195
Canada,North America,1967,65856924424
China,Asia,1967,73011350596
Egypt,Africa,1967,5605484299
France,Europe,1967,118088635381
Germany,Europe,1967,145100667773
India,Asia,1967,50134942204
Indonesia,Asia,1967,5667756628
Iran,Middle East,1967,7555383690
Italy,Europe,1967,84401995573
Japan,Asia,1967,132475614227
Mexico,North America,1967,26560000000
Netherlands,Europe,1967,27143828099
Nigeria,Africa,1967,5203237919
Pakistan,Asia,1967,7464510710
Saudi Arabia,Middle East,1967,3257022223
South Africa,Africa,1967,15821393671
South Korea,Asia,1967,4895076718
Spain,Europe,1967,32570905397
Sweden,Europe,1967,29474881506
Switzerland,Europe,1967,19397044714
Thailand,Asia,1967,5638461442
Türkiye,Middle East,1967,15644444444
United Kingdom,Europe,1967,113116888211
United States,North America,1967,859620034483
Argentina,South America,1968,26436857247
Australia,Oceania,1968,32763365242
Belgium,Europe,1968,21654856965
Brazil,South America,1968,33930457425
Canada,North America,1968,72048833006
China,Asia,1968,70980323819
Egypt,Africa,1968,5932242991
France,Europe,1968,128710572572
Germany,Europe,1968,156527292653
India,Asia,1968,53085455871
Indonesia,Asia,1968,7076465300
Iran,Middle East,1968,8623172960
Italy,Europe,1968,91485448148
Japan,Asia,1968,156897496759
Mexico,North America,1968,29360000000
Netherlands,Europe,1968,30097635751
Nigeria,Africa,1968,5200997920
Pakistan,Asia,1968,8041999160
Saudi Arabia,Middle East,1968,4187777711
South Africa,Africa,1968,17124793150
South Korea,Asia,1968,6167109472
Spain,Europe,1968,32394326464
Sweden,Europe,1968,31277871669
Switzerland,Europe,1968,20712102794
Thailand,Asia,1968,6081009428
Türkiye,Middle East,1968,17500000000
United Kingdom,Europe,1968,107759910068
United States,North America,1968,940225000000
Argentina,South America,1969,31256284544
Australia,Oceania,1969,36738245878
Belgium,Europe,1969,24019653475
Brazil,South America,1969,37171640819
Canada,North America,1969,79405011125
China,Asia,1969,79847786729
Egypt,Africa,1969,6524455206
France,Europe,1969,140660914841
Germany,Europe,1969,177733486326
India,Asia,1969,58447995017
Indonesia,Asia,1969,8337423313
Iran,Middle East,1969,9743089607
Italy,Europe,1969,100996667239
Japan,Asia,1969,184298841305
Mexico,North America,1969,32480000000
Netherlands,Europe,1969,34086038090
Nigeria,Africa,1969,6634317346
Pakistan,Asia,1969,8683116338
Saudi Arabia,Middle East,1969,4485777644
South Africa,Africa,1969,19256992297
South Korea,Asia,1969,7743940189
Spain,Europe,1969,37090689288
Sweden,Europe,1969,33967301561
Switzerland,Europe,1969,22442043274
Thailand,Asia,1969,6695336567
Türkiye,Middle East,1969,19466666667
United Kingdom,Europe,1969,116464702803
United States,North America,1969,1017438172414
Argentina,South America,1970,31584210366
Australia,Oceania,1970,41395206623
Belgium,Europe,1970,26706196047
Brazil,South America,1970,42327664794
Canada,North America,1970,88192257632
China,Asia,1970,92752930873
Egypt,Africa,1970,8042200452
France,Europe,1970,147312861698
Germany,Europe,1970,216629229947
India,Asia,1970,62422483055
Indonesia,Asia,1970,9150684932
Iran,Middle East,1970,10976245154
Italy,Europe,1970,113656669765
Japan,Asia,1970,217223652719
Mexico,North America,1970,35520000000
Netherlands,Europe,1970,38220884519
Nigeria,Africa,1970,12546094982
Pakistan,Asia,1970,10027509450
Saudi Arabia,Middle East,1970,5377333333
South Africa,Africa,1970,21218391513
South Korea,Asia,1970,9085001794
Spain,Europe,1970,40963715237
Sweden,Europe,1970,38037226668
Switzerland,Europe,1970,24998066773
Thailand,Asia,1970,7086538438
Türkiye,Middle East,1970,17863636364
United Kingdom,Europe,1970,130671946244
United States,North America,1970,1073303000000
Argentina,South America,1971,33293199095
Australia,Oceania,1971,45283847245
Belgium,Europe,1971,29821661870
Brazil,South America,1971,48869830902
Canada,North America,1971,99606454744
China,Asia,1971,99959013880
Egypt,Africa,1971,8609283346
France,Europe,1971,164694210962
Germany,Europe,1971,250900942397
India,Asia,1971,67351404352
Indonesia,Asia,1971,9333536370
Iran,Middle East,1971,13731802833
Italy,Europe,1971,124959712859
Japan,Asia,1971,245364056622
Mexico,North America,1971,39200000000
Netherlands,Europe,1971,44644730576
Nigeria,Africa,1971,9181769912
Pakistan,Asia,1971,10665896682
Saudi Arabia,Middle East,1971,7184806909
South Africa,Africa,1971,23411076638
South Korea,Asia,1971,10005257131
Spain,Europe,1971,46586119760
