country,region,year,gdp
Thailand,Asia,1989,72250748100
Türkiye,Middle East,1989,107127191329
United Kingdom,Europe,1989,926884816754
United States,North America,1989,5641580000000
Argentina,South America,1990,141352654305
Australia,Oceania,1990,311840666465
Belgium,Europe,1990,205331747948
Brazil,South America,1990,390725626003
Canada,North America,1990,596075591361
China,Asia,1990,361560229446
Egypt,Africa,1990,42978914311
France,Europe,1990,1257649439827
Germany,Europe,1990,1778162195860
India,Asia,1990,320979026420
Indonesia,Asia,1990,106140727334
Iran,Middle East,1990,124813263926
Italy,Europe,1990,1183945130899
Japan,Asia,1990,3185904656664
Mexico,North America,1990,261253675693
Netherlands,Europe,1990,318799003994
Nigeria,Africa,1990,54035795388
Pakistan,Asia,1990,40010423970
Poland,Europe,1990,65977748211
Russia,Europe,1990,517014446228
Saudi Arabia,Middle East,1990,117630173565
South Africa,Africa,1990,126048140142
South Korea,Asia,1990,292064221389
Spain,Europe,1990,536175326477
Sweden,Europe,1990,261466577009
Switzerland,Europe,1990,265763573999
Thailand,Asia,1990,85343190719
Türkiye,Middle East,1990,150655500192
United Kingdom,Europe,1990,1093169389205
United States,North America,1990,5963144000000
Argentina,South America,1991,189719984268
Australia,Oceania,1991,326416407861
Belgium,Europe,1991,210510999409
Brazil,South America,1991,342609231343
Canada,North America,1991,612527712316
China,Asia,1991,384510452962
Egypt,Africa,1991,37387836491
France,Europe,1991,1258961748634
Germany,Europe,1991,1875792575133
India,Asia,1991,270105341879
Indonesia,Asia,1991,116621996217
Iran,Middle East,1991,131637664958
Italy,Europe,1991,1249092439519
Japan,Asia,1991,3648065760649
Mexico,North America,1991,313139656146
Netherlands,Europe,1991,327982316124
Nigeria,Africa,1991,59526833412
Pakistan,Asia,1991,45625336680
Poland,Europe,1991,85500935935
Russia,Europe,1991,517962962963
Saudi Arabia,Middle East,1991,132223230975
South Africa,Africa,1991,135203698238
South Korea,Asia,1991,340851946804
Spain,Europe,1991,576753902322
Sweden,Europe,1991,273831464572
Switzerland,Europe,1991,268901693863
Thailand,Asia,1991,98234714971
Türkiye,Middle East,1991,151034731544
United Kingdom,Europe,1991,1142797178131
United States,North America,1991,6158129000000
Argentina,South America,1992,228778917308
Australia,Oceania,1992,325982966981
Belgium,Europe,1992,234781652447
Brazil,South America,1992,328187960872
Canada,North America,1992,594387358319
China,Asia,1992,428502354788
Egypt,Africa,1992,41855986519
France,Europe,1992,1389663073110
Germany,Europe,1992,2141377582968
India,Asia,1992,288208070278
Indonesia,Asia,1992,128026966580
Iran,Middle East,1992,119768691217
Italy,Europe,1992,1323204350354
Japan,Asia,1992,3980702922118
Mexico,North America,1992,363157832924
Netherlands,Europe,1992,363497050125
Nigeria,Africa,1992,52058181854
Pakistan,Asia,1992,48884671947
Poland,Europe,1992,94337050693
Russia,Europe,1992,460290556901
Saudi Arabia,Middle East,1992,137087850467
South Africa,Africa,1992,146956150987
South Korea,Asia,1992,366921291825
Spain,Europe,1992,630465353486
Sweden,Europe,1992,283908914454
Switzerland,Europe,1992,279921425828
Thailand,Asia,1992,111452746518
Türkiye,Middle East,1992,159104772992
United Kingdom,Europe,1992,1179659529660
United States,North America,1992,6520327000000
Argentina,South America,1993,236741715015
Australia,Oceania,1993,312568858910
Belgium,Europe,1993,224721795709
Brazil,South America,1993,368295778245
Canada,North America,1993,579053561739
China,Asia,1993,446557291212
Egypt,Africa,1993,46578631453
France,Europe,1993,1314383368080
Germany,Europe,1993,2078954217438
India,Asia,1993,279295648983
Indonesia,Asia,1993,158006700302
Iran,Middle East,1993,63743623232
Italy,Europe,1993,1067412587671
Japan,Asia,1993,4536940479038
Mexico,North America,1993,530160763663
Netherlands,Europe,1993,354070495966
Nigeria,Africa,1993,56721051402
Pakistan,Asia,1993,51809999353
Poland,Europe,1993,96043157273
Russia,Europe,1993,435083713851
Saudi Arabia,Middle East,1993,132967957276
South Africa,Africa,1993,147194747566
South Korea,Asia,1993,405705302846
Spain,Europe,1993,524700572624
Sweden,Europe,1993,212644602616
Switzerland,Europe,1993,272237527071
Thailand,Asia,1993,128889262951
Türkiye,Middle East,1993,180415757852
United Kingdom,Europe,1993,1061388722256
United States,North America,1993,6858559000000
Argentina,South America,1994,257440000000
Australia,Oceania,1994,323269456935
Belgium,Europe,1994,244884129491
Brazil,South America,1994,525369851354
Canada,North America,1994,579944346807
China,Asia,1994,566929539493
Egypt,Africa,1994,51897983393
France,Europe,1994,1385822778828
Germany,Europe,1994,2215282632277
India,Asia,1994,327274843459
Indonesia,Asia,1994,176892143932
Iran,Middle East,1994,71841461173
Italy,Europe,1994,1101750159702
Japan,Asia,1994,4998797547741
Mexico,North America,1994,553618247901
Netherlands,Europe,1994,379688232232
Nigeria,Africa,1994,80399613064
Pakistan,Asia,1994,52293470813
Poland,Europe,1994,110803635288
Russia,Europe,1994,395077301248
Saudi Arabia,Middle East,1994,135174899866
South Africa,Africa,1994,153512712382
South Korea,Asia,1994,479181794217
Spain,Europe,1994,530183651720
Sweden,Europe,1994,228699066874
Switzerland,Europe,1994,301375055202
Thailand,Asia,1994,146683778959
Türkiye,Middle East,1994,130650447499
United Kingdom,Europe,1994,1140489745944
United States,North America,1994,7287236000000
Argentina,South America,1995,258031750000
Australia,Oceania,1995,368725126225
Belgium,Europe,1995,288025588396
Brazil,South America,1995,769333330412
Canada,North America,1995,605961090061
China,Asia,1995,738190896228
Egypt,Africa,1995,60159245060
France,Europe,1995,1595219345512
Germany,Europe,1995,2593053091306
India,Asia,1995,360281909643
Indonesia,Asia,1995,202132028723
Iran,Middle East,1995,96419225744
Italy,Europe,1995,1177369428266
Japan,Asia,1995,5545563663890
Mexico,North America,1995,380157469867
Netherlands,Europe,1995,452967334614
Nigeria,Africa,1995,140919776986
Pakistan,Asia,1995,60636071684
Poland,Europe,1995,142838527115
Russia,Europe,1995,395537185735
Saudi Arabia,Middle East,1995,143343124166
South Africa,Africa,1995,171735933897
South Korea,Asia,1995,586286469401
Spain,Europe,1995,614170002669
Sweden,Europe,1995,267050453507
Switzerland,Europe,1995,352835806342
Thailand,Asia,1995,169278916593
Türkiye,Middle East,1995,234699627004
United Kingdom,Europe,1995,1349094208616
United States,North America,1995,7639749000000
Argentina,South America,1996,272149750000
Australia,Oceania,1996,401962517479
Belgium,Europe,1996,279201433225
Brazil,South America,1996,850426433004
Canada,North America,1996,630607994133
China,Asia,1996,868523936530
Egypt,Africa,1996,67629716981
France,Europe,1996,1598889216566
Germany,Europe,1996,2506576553158
India,Asia,1996,392896866205
Indonesia,Asia,1996,227369679375
Iran,Middle East,1996,120403931885
Italy,Europe,1996,1314776508972
Japan,Asia,1996,4923391533852
Mexico,North America,1996,432157945024
Netherlands,Europe,1996,451372549020
Nigeria,Africa,1996,185730236700
Pakistan,Asia,1996,63320170084
Poland,Europe,1996,160813026223
Russia,Europe,1996,391724890744
Saudi Arabia,Middle East,1996,158662483311
South Africa,Africa,1996,163234925381
South Korea,Asia,1996,631196863758
Spain,Europe,1996,642251412058
Sweden,Europe,1996,291949597375
Switzerland,Europe,1996,340103959547
Thailand,Asia,1996,183035237429
Türkiye,Middle East,1996,250366965174
United Kingdom,Europe,1996,1425287051482
United States,North America,1996,8073122000000
Argentina,South America,1997,292859000000
Australia,Oceania,1997,436321902767
Belgium,Europe,1997,252708051421
Brazil,South America,1997,883206452795
Canada,North America,1997,654986999856
China,Asia,1997,967753570435
Egypt,Africa,1997,78436578171
France,Europe,1997,1449392222971
Germany,Europe,1997,2218790886533
India,Asia,1997,415867563593
Indonesia,Asia,1997,215748998610
Iran,Middle East,1997,113919163421
Italy,Europe,1997,1244988176444
Japan,Asia,1997,4492448605639
Mexico,North America,1997,523449530464
Netherlands,Europe,1997,417506211882
Nigeria,Africa,1997,200850397618
Pakistan,Asia,1997,62433340468
Poland,Europe,1997,159893964917
Russia,Europe,1997,404928954192
Saudi Arabia,Middle East,1997,165963684913
South Africa,Africa,1997,168978057328
South Korea,Asia,1997,589202526424
Spain,Europe,1997,589739772727
Sweden,Europe,1997,268249616891
Switzerland,Europe,1997,294788198856
Thailand,Asia,1997,150180456566
Türkiye,Middle East,1997,263817553748
United Kingdom,Europe,1997,1569317288802
United States,North America,1997,8577554457000
Argentina,South America,1998,298948250000
Australia,Oceania,1998,400361527505
Belgium,Europe,1998,258528339631
Brazil,South America,1998,863711007325
Canada,North America,1998,634000000000
China,Asia,1998,1037134141760
Egypt,Africa,1998,84828807556
France,Europe,1998,1496906382032
Germany,Europe,1998,2247760364566
India,Asia,1998,421351317225
Indonesia,Asia,1998,95445547873
Iran,Middle East,1998,110276913363
Italy,Europe,1998,1272729786997
Japan,Asia,1998,4098362709531
Mexico,North America,1998,557461102631
Netherlands,Europe,1998,438612530549
Nigeria,Africa,1998,218416200673
Pakistan,Asia,1998,62191955814
Poland,Europe,1998,175282269667
Russia,Europe,1998,270955486862
Saudi Arabia,Middle East,1998,146775466667
South Africa,Africa,1998,152982984557
South Korea,Asia,1998,397297216492
Spain,Europe,1998,618731484575
Sweden,Europe,1998,270887306759
Switzerland,Europe,1998,303459014347
Thailand,Asia,1998,113675596788
Türkiye,Middle East,1998,276035372655
United Kingdom,Europe,1998,1660821464061
United States,North America,1998,9062818202000
Argentina,South America,1999,283523000000
Australia,Oceania,1999,390347787943
Belgium,Europe,1999,258245733221
Brazil,South America,1999,599642075004
Canada,North America,1999,678412196271
China,Asia,1999,1103843203576
Egypt,Africa,1999,90710704807
France,Europe,1999,1486915879702
Germany,Europe,1999,2213873468587
India,Asia,1999,458821052616
Indonesia,Asia,1999,140001351215
Iran,Middle East,1999,113848450088
Italy,Europe,1999,1255004736464
Japan,Asia,1999,4635982224064
Mexico,North America,1999,631249359702
Netherlands,Europe,1999,447778514140
Nigeria,Africa,1999,59145077039
Pakistan,Asia,1999,62973857069
Poland,Europe,1999,170704452715
Russia,Europe,1999,195907128351
Saudi Arabia,Middle East,1999,161717066667
South Africa,Africa,1999,151516957079
South Korea,Asia,1999,515697079289
Spain,Europe,1999,634394904387
Sweden,Europe,1999,274318357862
Switzerland,Europe,1999,297873643323
Thailand,Asia,1999,126669211779
Türkiye,Middle East,1999,256673939248
United Kingdom,Europe,1999,1693458987219
United States,North America,1999,9631174489000
Argentina,South America,2000,284203750000
Australia,Oceania,2000,416901962163
Belgium,Europe,2000,236792460312
Brazil,South America,2000,655448188259
Canada,North America,2000,744773415932
China,Asia,2000,1223754919971
Egypt,Africa,2000,99838543960
France,Europe,2000,1360959069477
Germany,Europe,2000,1966980701145
India,Asia,2000,468395521654
Indonesia,Asia,2000,165021012078
Iran,Middle East,2000,109591707802
Italy,Europe,2000,1149661363439
Japan,Asia,2000,4968359075957
Mexico,North America,2000,742061329749
Netherlands,Europe,2000,417649282154
Nigeria,Africa,2000,69171451627
Pakistan,Asia,2000,99484802345
Poland,Europe,2000,172953527033
Russia,Europe,2000,259710142197
Saudi Arabia,Middle East,2000,189514933333
South Africa,Africa,2000,151752757215
South Korea,Asia,2000,597487173479
Spain,Europe,2000,598102854756
Sweden,Europe,2000,262903560280
Switzerland,Europe,2000,279216033870
Thailand,Asia,2000,126392224254
Türkiye,Middle East,2000,274748463179
United Kingdom,Europe,2000,1671597821153
United States,North America,2000,10250947997000
Argentina,South America,2001,268696750000
Australia,Oceania,2001,380360222861
Belgium,Europe,2001,236746141604
Brazil,South America,2001,559983704094
Canada,North America,2001,738981792355
China,Asia,2001,1355036590252
Egypt,Africa,2001,96684636119
France,Europe,2001,1370376677299
Germany,Europe,2001,1966381496642
India,Asia,2001,485440139204
Indonesia,Asia,2001,160446947785
Iran,Middle East,2001,126878750296
Italy,Europe,2001,1172041488806
Japan,Asia,2001,4374711694091
Mexico,North America,2001,796064590549
Netherlands,Europe,2001,432536219669
Nigeria,Africa,2001,73557840064
Pakistan,Asia,2001,97145618480
Poland,Europe,2001,191823200371
Russia,Europe,2001,306602070621
Saudi Arabia,Middle East,2001,184137600000
South Africa,Africa,2001,135429905923
South Korea,Asia,2001,567564806235
Spain,Europe,2001,627798682379
Sweden,Europe,2001,242497797485
Switzerland,Europe,2001,286582672434
Thailand,Asia,2001,120296476180
Türkiye,Middle East,2001,202195080239
United Kingdom,Europe,2001,1656171009069
United States,North America,2001,10581929774000
Argentina,South America,2002,97724004252
Australia,Oceania,2002,396436967263
Belgium,Europe,2002,258383599375
Brazil,South America,2002,509795270685
Canada,North America,2002,760649334098
China,Asia,2002,1489821682051
Egypt,Africa,2002,85146067416
France,Europe,2002,1492427756382
Germany,Europe,2002,2102350798306
India,Asia,2002,514939140319
Indonesia,Asia,2002,195660611165
Iran,Middle East,2002,128626917504
Italy,Europe,2002,1281746271196
Japan,Asia,2002,4182846045874
Mexico,North America,2002,810666116402
Netherlands,Europe,2002,475529972123
Nigeria,Africa,2002,95054059303
Pakistan,Asia,2002,97923302809
Poland,Europe,2002,199694463256
Russia,Europe,2002,345470494418
Saudi Arabia,Middle East,2002,189605866667
South Africa,Africa,2002,129087556612
South Korea,Asia,2002,650014391470
Spain,Europe,2002,708938227244
Sweden,Europe,2002,267371907447
Switzerland,Europe,2002,309301422430
Thailand,Asia,2002,134300904400
Türkiye,Middle East,2002,240778008474
United Kingdom,Europe,2002,1790536570743
United States,North America,2002,10929112955000
Argentina,South America,2003,127586973492
Australia,Oceania,2003,468517181130
Belgium,Europe,2003,318082528507
Brazil,South America,2003,558233724165
Canada,North America,2003,895540646635
China,Asia,2003,1683903309844
Egypt,Africa,2003,80288461538
France,Europe,2003,1835095983049
Germany,Europe,2003,2534715518349
India,Asia,2003,607700687237
Indonesia,Asia,2003,234772463824
Iran,Middle East,2003,151911222119
Italy,Europe,2003,1582930016539
Japan,Asia,2003,4519561645254
Mexico,North America,2003,765549967703
Netherlands,Europe,2003,582435617082
Nigeria,Africa,2003,104738954264
Pakistan,Asia,2003,112371913741
Poland,Europe,2003,218561225998
Russia,Europe,2003,430347420185
Saudi Arabia,Middle East,2003,215807733333
South Africa,Africa,2003,197018965309
South Korea,Asia,2003,728516494684
Spain,Europe,2003,907963217058
Sweden,Europe,2003,334072443516
Switzerland,Europe,2003,362075086508
Thailand,Asia,2003,152280615246
Türkiye,Middle East,2003,315392899922
United Kingdom,Europe,2003,2061227755102
United States,North America,2003,11456442041000
Argentina,South America,2004,164657930453
Australia,Oceania,2004,615643050221
Belgium,Europe,2004,369214712443
Brazil,South America,2004,669289321945
Canada,North America,2004,1026690238278
China,Asia,2004,1984196551300
Egypt,Africa,2004,78782467532
France,Europe,2004,2109792297237
Germany,Europe,2004,2852317768062
India,Asia,2004,709152728831
Indonesia,Asia,2004,256836875295
Iran,Middle East,2004,187754571248
Italy,Europe,2004,1812808753295
Japan,Asia,2004,4893116005657
Mexico,North America,2004,819459227375
Netherlands,Europe,2004,661224886143
Nigeria,Africa,2004,135764731646
Pakistan,Asia,2004,132216048339
Poland,Europe,2004,256268656145
Russia,Europe,2004,591016690732
Saudi Arabia,Middle East,2004,258742133333
South Africa,Africa,2004,255806908595
South Korea,Asia,2004,823251107639
Spain,Europe,2004,1069829382515
Sweden,Europe,2004,384545442175
Switzerland,Europe,2004,403912891033
Thailand,Asia,2004,172895685155
Türkiye,Middle East,2004,410156784496
United Kingdom,Europe,2004,2429774807763
United States,North America,2004,12217193198000
Argentina,South America,2005,198737095012
Australia,Oceania,2005,696811489613
Belgium,Europe,2005,385714762230
Brazil,South America,2005,891633826625
Canada,North America,2005,1173108598779
China,Asia,2005,2317551298052
Egypt,Africa,2005,89660339660
France,Europe,2005,2192146403028
Germany,Europe,2005,2893393187362
India,Asia,2005,820383763511
Indonesia,Asia,2005,285868619196
Iran,Middle East,2005,224970371325
Italy,Europe,2005,1864982261287
Japan,Asia,2005,4831467035390
Mexico,North America,2005,917571853529
Netherlands,Europe,2005,688133699636
Nigeria,Africa,2005,175670569969
Pakistan,Asia,2005,145208562961
Poland,Europe,2005,306999913151
Russia,Europe,2005,764015973481
Saudi Arabia,Middle East,2005,328459608764
South Africa,Africa,2005,288867217197
South Korea,Asia,2005,971740329984
Spain,Europe,2005,1154667551776
Sweden,Europe,2005,391688455929
Switzerland,Europe,2005,418284865885
Thailand,Asia,2005,189318408469
Türkiye,Middle East,2005,508314210213
United Kingdom,Europe,2005,2551361818182
United States,North America,2005,13039199193000
Argentina,South America,2006,232557260817
Australia,Oceania,2006,749708370333
Belgium,Europe,2006,408259840869
Brazil,South America,2006,1107626711163
Canada,North America,2006,1319264809591
China,Asia,2006,2791498472804
Egypt,Africa,2006,107426086957
France,Europe,2006,2317861544691
Germany,Europe,2006,3046308753671
India,Asia,2006,940259888788
Indonesia,Asia,2006,364570515618
Iran,Middle East,2006,265602187404
Italy,Europe,2006,1958563654386
Japan,Asia,2006,4601663122650
Mexico,North America,2006,1020265057882
Netherlands,Europe,2006,737593995289
Nigeria,Africa,2006,238454997161
Pakistan,Asia,2006,161871385506
Poland,Europe,2006,345897630736
Russia,Europe,2006,989932071353
Saudi Arabia,Middle East,2006,376900133511
South Africa,Africa,2006,303858675364
South Korea,Asia,2006,1095175538508
Spain,Europe,2006,1261846683275
Sweden,Europe,2006,422528394459
Switzerland,Europe,2006,441634672197
Thailand,Asia,2006,221758296022
Türkiye,Middle East,2006,559668118237
United Kingdom,Europe,2006,2719558417663
United States,North America,2006,13815586948000
Argentina,South America,2007,287530508431
Australia,Oceania,2007,856603595823
Belgium,Europe,2007,470922156309
Brazil,South America,2007,1397114247189
Canada,North America,2007,1468820407783
China,Asia,2007,3604055822572
Egypt,Africa,2007,130437828371
France,Europe,2007,2655816911867
Germany,Europe,2007,3484056680855
India,Asia,2007,1216736438835
Indonesia,Asia,2007,432216737775
Iran,Middle East,2007,349736591832
Italy,Europe,2007,2222524108128
Japan,Asia,2007,4579750920355
Mexico,North America,2007,1102355554972
Netherlands,Europe,2007,853499460873
Nigeria,Africa,2007,278260846800
Pakistan,Asia,2007,184140869997
Poland,Europe,2007,429715132138
Russia,Europe,2007,1299703478482
Saudi Arabia,Middle East,2007,415964509673
South Africa,Africa,2007,333077117254
South Korea,Asia,2007,1220911904593
Spain,Europe,2007,1476746276855
Sweden,Europe,2007,490047789548
Switzerland,Europe,2007,490740715595
Thailand,Asia,2007,262942621455
Türkiye,Middle East,2007,685228481017
United Kingdom,Europe,2007,3104699879952
United States,North America,2007,14474226905000
Argentina,South America,2008,361558037110
Australia,Oceania,2008,1058448244064
Belgium,Europe,2008,517328087920
Brazil,South America,2008,1695855391758
Canada,North America,2008,1552989690722
China,Asia,2008,4667346414522
Egypt,Africa,2008,162818181818
France,Europe,2008,2926802941586
Germany,Europe,2008,3808197720125
India,Asia,2008,1198895139006
Indonesia,Asia,2008,510228634992
Iran,Middle East,2008,406070949554
Italy,Europe,2008,2417508414187
Japan,Asia,2008,5106679115127
Mexico,North America,2008,1161553459715
Netherlands,Europe,2008,957901566041
Nigeria,Africa,2008,339476276258
Pakistan,Asia,2008,202203748584
Poland,Europe,2008,535612030672
Russia,Europe,2008,1660848058303
Saudi Arabia,Middle East,2008,519796800000
South Africa,Africa,2008,316131258616
South Korea,Asia,2008,1091580692542
Spain,Europe,2008,1636115447613
Sweden,Europe,2008,514614100833
Switzerland,Europe,2008,567267767519
Thailand,Asia,2008,291382982431
Türkiye,Middle East,2008,775415944333
United Kingdom,Europe,2008,2945251838235
United States,North America,2008,14769857911000
Argentina,South America,2009,332976484578
Australia,Oceania,2009,931761689771
Belgium,Europe,2009,485014525992
Brazil,South America,2009,1666996294252
Canada,North America,2009,1374625142157
China,Asia,2009,5189577094998
Egypt,Africa,2009,189147005445
France,Europe,2009,2700075882519
Germany,Europe,2009,3478545516684
India,Asia,2009,1341888016995
Indonesia,Asia,2009,539580085612
Iran,Middle East,2009,414059094949
Italy,Europe,2009,2209484319013
Japan,Asia,2009,5289493117994
Mexico,North America,2009,943437415025
Netherlands,Europe,2009,878954223140
Nigeria,Africa,2009,295008835381
Pakistan,Asia,2009,187337783856
Poland,Europe,2009,440891472247
Russia,Europe,2009,1222645900056
Saudi Arabia,Middle East,2009,429097866667
South Africa,Africa,2009,329754060647
South Korea,Asia,2009,983065242417
Spain,Europe,2009,1496587590848
Sweden,Europe,2009,434311714442
Switzerland,Europe,2009,554212916092
Thailand,Asia,2009,281710630187
Türkiye,Middle East,2009,653894449921
United Kingdom,Europe,2009,2429358155476
United States,North America,2009,14478064934000
Argentina,South America,2010,423627422092
Australia,Oceania,2010,1152566632022
Belgium,Europe,2010,481556503720
Brazil,South America,2010,2208838108484
Canada,North America,2010,1617343367486
China,Asia,2010,6192564874453
Egypt,Africa,2010,218983666062
France,Europe,2010,2646230027988
Germany,Europe,2010,3467093769667
India,Asia,2010,1675615519485
Indonesia,Asia,2010,755094157622
Iran,Middle East,2010,487069570464
Italy,Europe,2010,2144936254535
Japan,Asia,2010,5759071769013
Mexico,North America,2010,1105424238731
Netherlands,Europe,2010,852464982433
Nigeria,Africa,2010,366990417129
Pakistan,Asia,2010,196709621850
Poland,Europe,2010,478111630684
Russia,Europe,2010,1524916715224
Saudi Arabia,Middle East,2010,528207466667
South Africa,Africa,2010,417363822802
South Korea,Asia,2010,1192830015738
Spain,Europe,2010,1427989078917
Sweden,Europe,2010,492750897239
Switzerland,Europe,2010,598851028907
Thailand,Asia,2010,341104766329
Türkiye,Middle East,2010,782545664268
United Kingdom,Europe,2010,2496740681057
United States,North America,2010,15048964444000
Argentina,South America,2011,530158122010
Australia,Oceania,2011,1402939868653
Belgium,Europe,2011,527196649049
Brazil,South America,2011,2616156606579
Canada,North America,2011,1793326630175
China,Asia,2011,7671757207851
Egypt,Africa,2011,235989672978
France,Europe,2011,2870408553990
Germany,Europe,2011,3823575803794
India,Asia,2011,1823051829895
Indonesia,Asia,2011,892969104563
Iran,Middle East,2011,629082257472
Italy,Europe,2011,2306974020278
Japan,Asia,2011,6233147172341
Mexico,North America,2011,1229013703417
Netherlands,Europe,2011,913140741333
Nigeria,Africa,2011,414466676831
Pakistan,Asia,2011,230586581060
Poland,Europe,2011,527848543023
Russia,Europe,2011,2045922753398
Saudi Arabia,Middle East,2011,680660800000
South Africa,Africa,2011,458199494831
South Korea,Asia,2011,1307103477219
Spain,Europe,2011,1487568659241
Sweden,Europe,2011,570538581144
Switzerland,Europe,2011,715888126682
Thailand,Asia,2011,370818739624
Türkiye,Middle East,2011,844192507381
United Kingdom,Europe,2011,2675590034129
United States,North America,2011,15599728123000
Argentina,South America,2012,545982375701
Australia,Oceania,2012,1552728401402
Belgium,Europe,2012,498414364945
Brazil,South America,2012,2465228293707
Canada,North America,2012,1828366481522
China,Asia,2012,8673664713189
Egypt,Africa,2012,279116666667
France,Europe,2012,2683007095787
Germany,Europe,2012,3596483233406
India,Asia,2012,1827637590410
Indonesia,Asia,2012,917869913333
Iran,Middle East,2012,644019315004
Italy,Europe,2012,2097929495122
Japan,Asia,2012,6272362996105
Mexico,North America,2012,1255110424818
Netherlands,Europe,2012,845689017066
Nigeria,Africa,2012,463971018239
Pakistan,Asia,2012,250106966105
Poland,Europe,2012,498148649703
Russia,Europe,2012,2208293553878
Saudi Arabia,Middle East,2012,751921333333
South Africa,Africa,2012,434400545086
South Korea,Asia,2012,1335343586438
Spain,Europe,2012,1330994811670
Sweden,Europe,2012,549739674655
Switzerland,Europe,2012,686420221558
Thailand,Asia,2012,397558325279
Türkiye,Middle East,2012,885327622479
United Kingdom,Europe,2012,2719715961540
United States,North America,2012,16253972230000
Argentina,South America,2013,552025140252
Australia,Oceania,2013,1583737461925
Belgium,Europe,2013,524097026599
Brazil,South America,2013,2472819362044
Canada,North America,2013,1846597421835
China,Asia,2013,9743124247267
Egypt,Africa,2013,288434108527
France,Europe,2013,2816077607875
Germany,Europe,2013,3807023797051
India,Asia,2013,1856721507622
Indonesia,Asia,2013,912524136718
Iran,Middle East,2013,500399839840
Italy,Europe,2013,2153225581941
Japan,Asia,2013,5212328181166
Mexico,North America,2013,1327436290283
Netherlands,Europe,2013,883951539007
Nigeria,Africa,2013,520117180314
Pakistan,Asia,2013,258657231672
Poland,Europe,2013,518179836405
Russia,Europe,2013,2292470078346
Saudi Arabia,Middle East,2013,769755733333
South Africa,Africa,2013,400886013596
South Korea,Asia,2013,1434669686502
Spain,Europe,2013,1362186923158
Sweden,Europe,2013,584125353119
Switzerland,Europe,2013,706234937371
Thailand,Asia,2013,420333654593
Türkiye,Middle East,2013,962167643589
United Kingdom,Europe,2013,2796908333283
United States,North America,2013,16843190993000
Argentina,South America,2014,526319673732
Australia,Oceania,2014,1474677007566
Belgium,Europe,2014,537987419164
Brazil,South America,2014,2456043766032
Canada,North America,2014,1805749878440
China,Asia,2014,10674533168257
Egypt,Africa,2014,305595408895
France,Europe,2014,2861236112552
Germany,Europe,2014,3964870735761
India,Asia,2014,2039126479155
Indonesia,Asia,2014,890814755534
Iran,Middle East,2014,462284793281
Italy,Europe,2014,2173255507986
Japan,Asia,2014,4896994405353
Mexico,North America,2014,1364507717614
Netherlands,Europe,2014,901556501756
Nigeria,Africa,2014,574183763412
Pakistan,Asia,2014,271390474858
Poland,Europe,2014,542134167179
Russia,Europe,2014,2059241589895
Saudi Arabia,Middle East,2014,787153066667
South Africa,Africa,2014,381198869776
South Korea,Asia,2014,1556252422020
Spain,Europe,2014,1380244561362
Sweden,Europe,2014,577727767304
Switzerland,Europe,2014,726537808338
Thailand,Asia,2014,407339040198
Türkiye,Middle East,2014,942343431929
United Kingdom,Europe,2014,3085362169410
United States,North America,2014,17550680174000
Argentina,South America,2015,594749285413
Australia,Oceania,2015,1356805839936
Belgium,Europe,2015,461044767545
Brazil,South America,2015,1802211999456
Canada,North America,2015,1556508816217
China,Asia,2015,11280814787469
Egypt,Africa,2015,329366576819
France,Europe,2015,2442483452643
Germany,Europe,2015,3425099578746
India,Asia,2015,2103588360045
Indonesia,Asia,2015,860854232686
Iran,Middle East,2015,409191686497
Italy,Europe,2015,1845428048839
Japan,Asia,2015,4444930651964
Mexico,North America,2015,1213294467717
Netherlands,Europe,2015,775743675303
Nigeria,Africa,2015,493026682801
Pakistan,Asia,2015,299963590535
Poland,Europe,2015,480054118583
Russia,Europe,2015,1363482182198
Saudi Arabia,Middle East,2015,693414400000
South Africa,Africa,2015,346709790459
South Korea,Asia,2015,1539212301136
Spain,Europe,2015,1206164777553
Sweden,Europe,2015,501602351912
Switzerland,Europe,2015,694118186380
Thailand,Asia,2015,401296238228
Türkiye,Middle East,2015,865460050684
United Kingdom,Europe,2015,2945579890258
United States,North America,2015,18206020741000
Argentina,South America,2016,557532320663
Australia,Oceania,2016,1211588128418
Belgium,Europe,2016,474271566740
Brazil,South America,2016,1795693265999
Canada,North America,2016,1527994741907
China,Asia,2016,11456024084962
Egypt,Africa,2016,332441717791
France,Europe,2016,2470407619777
Germany,Europe,2016,3536787895179
India,Asia,2016,2294796885663
Indonesia,Asia,2016,931877364038
Iran,Middle East,2016,478618064871
Italy,Europe,2016,1887111188177
Japan,Asia,2016,5003677627544
Mexico,North America,2016,1112233497453
Netherlands,Europe,2016,797163949290
Nigeria,Africa,2016,404649125252
Pakistan,Asia,2016,313630000130
Poland,Europe,2016,473259583970
Russia,Europe,2016,1276786350881
Saudi Arabia,Middle East,2016,689279466667
South Africa,Africa,2016,323585509674
South Korea,Asia,2016,1579150518945
Spain,Europe,2016,1243015667917
Sweden,Europe,2016,513058312951
Switzerland,Europe,2016,687895460903
Thailand,Asia,2016,413366349748
Türkiye,Middle East,2016,870818016910
United Kingdom,Europe,2016,2706807606539
United States,North America,2016,18695110842000
Argentina,South America,2017,643628393281
Australia,Oceania,2017,1330890554614
Belgium,Europe,2017,500908767352
Brazil,South America,2017,2063514688806
Canada,North America,2017,1649265644244
China,Asia,2017,12537559062283
Egypt,Africa,2017,248362771739
